2016-08-02 13:09:16,804 [CustomerManager.java:Thread-0:91] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 13:09:18,578 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 14:50:57,060 [SaleManager.java:Thread-0:77] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 14:51:01,440 [CustomerManager.java:Thread-0:91] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 14:51:03,102 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 14:55:55,083 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 14:55:56,797 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 14:58:46,300 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 14:58:48,175 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:00:37,228 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:00:38,775 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:02:05,396 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:02:07,130 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:04:13,428 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:04:15,146 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:05:28,286 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:05:29,927 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:06:38,101 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:06:39,819 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:07:19,303 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:07:21,037 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:07:48,370 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:07:49,886 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:08:41,426 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:08:43,114 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:09:28,054 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:09:29,757 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:10:03,131 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:10:04,865 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:10:35,859 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:10:37,562 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:11:49,028 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:11:50,731 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:12:34,850 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:12:36,569 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 15:29:02,321 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:02:06,045 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
